SenIP,SenR,SenDFL,SenIPFirst,SenRFirst,SenDFLFirst
10,71,115,1,7,1
6,200,144,6,2,1
7,81,105,7,8,1
26,606,430,2,6,4
11,105,107,1,1,1
2,52,53,2,5,5
5,39,49,5,3,4
5,43,69,5,4,6
19,219,167,1,2,1
8,233,162,8,2,1
14,344,277,1,3,2
5,54,65,5,5,6
38,1171,843,3,1,8
9,245,220,9,2,2
5,120,115,5,1,1
5,69,58,5,6,5
6,12,17,6,1,1
0,76,50,0,7,5
10,57,84,1,5,8
9,187,206,9,1,2
8,197,176,8,1,1
2,35,31,2,3,3
3,67,45,3,6,4
17,228,255,1,2,2
5,130,106,5,1,1
10,57,46,1,5,4
9,88,54,9,8,5
7,60,73,7,6,7
2,66,42,2,6,4
9,181,190,9,1,1
19,221,221,1,2,2
14,156,127,1,1,1
9,87,66,9,8,6
8,51,88,8,5,8
1,53,33,1,5,3
8,59,34,8,5,3
4,30,26,4,3,2
3,72,40,3,7,4
2,69,28,2,6,2
1,36,46,1,3,4
11,92,95,1,9,9
2,63,35,2,6,3
1,72,28,1,7,2
5,57,53,5,5,5
5,39,41,5,3,4
4,41,43,4,4,4
10,52,167,1,5,1
4,43,50,4,4,5
1,38,31,1,3,3
8,99,131,8,9,1
4,30,38,4,3,3
3,38,17,3,3,1
4,48,33,4,4,3
2,41,23,2,4,2
0,41,49,0,4,4
2,105,50,2,1,5
5,39,26,5,3,2
1,12,14,1,1,1
39,328,428,3,3,4
19,206,181,1,2,1
1,50,28,1,5,2
4,36,77,4,3,7
10,77,83,1,7,8
1,37,47,1,3,4
13,73,76,1,7,7
8,36,58,8,3,5
7,37,74,7,3,7
3,41,64,3,4,6
9,64,77,9,6,7
4,83,69,4,8,6
21,192,251,2,1,2
7,91,97,7,9,9
6,126,62,6,1,6
7,68,61,7,6,6
22,69,68,2,6,6
9,80,52,9,8,5
14,174,244,1,1,2
3,55,69,3,5,6
8,39,74,8,3,7
3,82,49,3,8,4
13,121,256,1,1,2
11,57,171,1,5,1
5,49,85,5,4,8
4,59,103,4,5,1
6,35,46,6,3,4
6,31,86,6,3,8
4,59,72,4,5,7
4,32,51,4,3,5
28,195,294,2,1,2
5,46,48,5,4,4
38,301,497,3,3,4
25,213,240,2,2,2
54,390,400,5,3,4
9,115,111,9,1,1
11,104,69,1,1,6
2,11,14,2,1,1
18,106,101,1,1,1
5,45,70,5,4,7
33,766,905,3,7,9
26,348,542,2,3,5
36,501,750,3,5,7
34,463,696,3,4,6
29,227,427,2,2,4
34,320,507,3,3,5
8,132,166,8,1,1
0,4,4,0,4,4
7,104,141,7,1,1
1,69,62,1,6,6
13,226,236,1,2,2
7,78,99,7,7,9
6,70,59,6,7,5
11,128,134,1,1,1
5,26,26,5,2,2
10,49,99,1,4,9
7,51,69,7,5,6
1,34,42,1,3,4
8,95,100,8,9,1
10,85,103,1,8,1
5,86,82,5,8,8
15,78,205,1,7,2
4,68,69,4,6,6
6,66,48,6,6,4
10,38,73,1,3,7
4,94,69,4,9,6
3,63,31,3,6,3
8,46,60,8,4,6
7,8,10,7,8,1
6,86,107,6,8,1
2,52,65,2,5,6
14,125,125,1,1,1
1,6,13,1,6,1
2,91,59,2,9,5
6,53,92,6,5,9
3,61,91,3,6,9
5,160,144,5,1,1
14,87,99,1,8,9
3,70,68,3,7,6
0,11,42,0,1,4
1,24,18,1,2,1
8,110,69,8,1,6
10,95,74,1,9,7
23,327,333,2,3,3
36,372,338,3,3,3
19,305,213,1,3,2
7,90,48,7,9,4
7,45,32,7,4,3
10,178,176,1,1,1
19,367,341,1,3,3
13,188,155,1,1,1
7,138,61,7,1,6
12,183,186,1,1,1
6,109,74,6,1,7
24,271,291,2,2,2
7,85,68,7,8,6
8,172,159,8,1,1
18,222,202,1,2,2
11,161,114,1,1,1
34,406,351,3,4,3
11,138,97,1,1,9
21,290,364,2,2,3
22,316,373,2,3,3
13,300,443,1,3,4
